case_study;algorithm;tool;model;pts_ip;test_assessment;F;S_bar;S_hat
eBike;SA;HECATE;Buck;r-pulse-85;TA_R4;10;1;1
eBike;SA;HECATE;Buck;r-pulse-130;TA_R1;0;0;0
eBike;SA;HECATE;Buck;r-pulse-130;TA_R2;10;2.6;2.5
eBike;SA;HECATE;Buck;r-pulse-130;TA_R3;10;1;1
eBike;SA;HECATE;Buck;r-pulse-130;TA_R4;10;1;1
eBike;SA;S-TaLiRo;PWM;pchip;TA_R1;8;9.9;10.5
eBike;SA;S-TaLiRo;PWM;pchip;TA_R2;10;4.2;1
eBike;SA;S-TaLiRo;PWM;pchip;TA_R3;10;3.2;1
eBike;SA;S-TaLiRo;PWM;pchip;TA_R4;10;1;1
eBike;SA;S-TaLiRo;PWM;pconst;TA_R1;4;20.5;15
eBike;SA;S-TaLiRo;PWM;pconst;TA_R2;10;3.9;3.5
eBike;SA;S-TaLiRo;PWM;pconst;TA_R3;10;1;1
eBike;SA;S-TaLiRo;PWM;pconst;TA_R4;10;1;1
eBike;SA;S-TaLiRo;Buck;pchip;TA_R1;0;0;0
eBike;SA;S-TaLiRo;Buck;pchip;TA_R2;10;7.8;5
eBike;SA;S-TaLiRo;Buck;pchip;TA_R3;10;1;1
eBike;SA;S-TaLiRo;Buck;pchip;TA_R4;10;2.1;1
eBike;SA;S-TaLiRo;Buck;pconst;TA_R1;0;0;0
eBike;SA;S-TaLiRo;Buck;pconst;TA_R2;10;2.4;1
eBike;SA;S-TaLiRo;Buck;pconst;TA_R3;10;1;1
eBike;SA;S-TaLiRo;Buck;pconst;TA_R4;10;1;1
Drone;UR;HECATE;;;R1;1;16;16
Drone;UR;HECATE;;;R2;7;20;27.3
Drone;UR;HECATE;;;R3;1;13;13
Drone;SA;HECATE;;;R1;2;32;32
Drone;SA;HECATE;;;R2;0;0;0
Drone;SA;HECATE;;;R3;0;0;0
Drone;UR;S-TaLiRo;;;R1;1;23;23
Drone;UR;S-TaLiRo;;;R2;8;25.5;27.6
Drone;UR;S-TaLiRo;;;R3;3;35;27.3
Drone;SA;S-TaLiRo;;;R1;1;11;11
Drone;SA;S-TaLiRo;;;R2;1;13;13
Drone;SA;S-TaLiRo;;;R3;0;0;0
